-250	-250	7.000
-250	-240	7.000
-250	-230	7.000
-250	-220	7.000
-250	-210	7.000
-250	-200	7.000
-250	-190	7.000
-250	-180	7.000
-250	-170	7.000
-250	-160	7.000
-250	-150	7.000
-250	-140	7.000
-250	-130	7.000
-250	-120	7.000
-250	-110	7.000
-250	-100	7.000
-250	-90	7.000
-250	-80	7.000
-250	-70	7.000
-250	-60	7.000
-250	-50	7.000
-250	-40	7.000
-250	-30	7.000
-250	-20	7.000
-250	-10	7.000
-250	0	7.000
-250	10	7.000
-250	20	7.000
-250	30	7.000
-250	40	7.000
-250	50	7.000
-250	60	7.000
-250	70	7.000
-250	80	7.000
-250	90	7.000
-250	100	7.000
-250	110	7.000
-250	120	7.000
-250	130	7.000
-250	140	7.000
-250	150	7.000
-250	160	7.000
-250	170	7.000
-250	180	7.000
-250	190	7.000
-250	200	7.000
-250	210	7.000
-250	220	7.000
-250	230	7.000
-250	240	7.000
-250	250	7.000
-240	-250	7.278
-240	-240	7.285
-240	-230	7.291
-240	-220	7.297
-240	-210	7.301
-240	-200	7.306
-240	-190	7.309
-240	-180	7.312
-240	-170	7.314
-240	-160	7.315
-240	-150	7.316
-240	-140	7.316
-240	-130	7.316
-240	-120	7.315
-240	-110	7.313
-240	-100	7.311
-240	-90	7.307
-240	-80	7.304
-240	-70	7.299
-240	-60	7.294
-240	-50	7.289
-240	-40	7.282
-240	-30	7.275
-240	-20	7.268
-240	-10	7.259
-240	0	7.251
-240	10	7.241
-240	20	7.231
-240	30	7.220
-240	40	7.208
-240	50	7.196
-240	60	7.183
-240	70	7.170
-240	80	7.155
-240	90	7.141
-240	100	7.125
-240	110	7.109
-240	120	7.092
-240	130	7.075
-240	140	7.057
-240	150	7.038
-240	160	7.019
-240	170	6.999
-240	180	6.978
-240	190	6.957
-240	200	6.935
-240	210	6.912
-240	220	6.889
-240	230	6.865
-240	240	6.840
-240	250	6.815
-230	-250	7.403
-230	-240	7.412
-230	-230	7.419
-230	-220	7.426
-230	-210	7.431
-230	-200	7.434
-230	-190	7.437
-230	-180	7.438
-230	-170	7.438
-230	-160	7.436
-230	-150	7.434
-230	-140	7.430
-230	-130	7.424
-230	-120	7.417
-230	-110	7.409
-230	-100	7.400
-230	-90	7.389
